1,2,3,4,5,6,7
0,0,32768000,32768000,1100043,27128880,21479296
0,3425188,21926071,25351259,4612036,9621643,6714919
0,6812850,-3425188,3387662,8851503,-16652645,671740
0,10125868,-26509868,-16384000,10536734,-31543019,1407241
0,13327946,-32051940,-18723994,8439235,-23271013,5345109
0,16384000,-16383999,1,4338441,3693588,9936730
0,19260547,10125868,29386415,1845176,31669482,14043635
0,21926071,29935057,51861128,3932140,41648735,17445453
0,24351369,29935057,54286426,10849646,26109263,20289472
0,26509868,10125868,36635736,19835373,-5771823,22760974
0,28377920,-16384000,11993920,26827732,-33989390,24965354
0,29935057,-32051940,-2116883,29057631,-40801653,26927354
0,31164219,-26509868,4654351,26806071,-22385702,28627177
0,32051940,-3425188,28626752,23163326,8659806,30032481
0,32588493,21926071,54514564,21946037,31632552,31115305
0,32768000,32768000,65536000,25146923,31376165,31857037
0,32588493,21926071,54514564,31601265,8244859,32247525
0,32051940,-3425188,28626752,37749700,-22197057,32282825
0,31164219,-26509868,4654351,39990362,-39531786,31963464
0,29935057,-32051940,-2116883,37062368,-32041239,31293645
0,28377920,-16383999,11993921,30882472,-4486024,30281040
0,26509868,10125868,36635736,25280767,25036432,28936812
0,24351369,29935057,54286426,23471881,37072328,27275654
0,21926071,29935057,51861128,25935066,23698216,25315704
0,19260547,10125868,29386415,30106087,-6218060,23078397
0,16383999,-16384000,-1,32084893,-32867564,20588230
0,13327946,-32051940,-18723994,29229096,-38593213,17872485
0,10125868,-26509868,-16384000,21917076,-19563145,14960917
0,6812850,-3425188,3387662,13313955,11699574,11885434
0,3425188,21926071,25351259,7295211,34605145,8679733
0,0,32768000,32768000,5901803,34119450,5378940
0,-3425188,21926071,18500883,8010668,10707384,2019212
0,-6812850,-3425188,-10238038,10100154,-19981437,-1362640
0,-10125868,-26509868,-36635736,8603621,-37475530,-4729564
0,-13327946,-32051940,-45379886,2293489,-30034547,-8044671
0,-16384000,-16383999,-32767999,-6882160,-2423360,-11271639
0,-19260547,10125868,-9134679,-15064311,27237398,-14375112
0,-21926071,29935057,8008986,-19012432,39460202,-17321083
0,-24351369,29935057,5583688,-18225033,26285145,-20077283
0,-26509868,10125868,-16384000,-15248378,-3452984,-22613512
0,-28377920,-16384000,-44761920,-13969328,-29970870,-24901984
0,-29935057,-32051940,-61986997,-17022237,-35627738,-26917626
0,-31164219,-26509868,-57674087,-24026102,-16598684,-28638354
0,-32051940,-3425188,-35477128,-31818721,14594279,-30045313
0,-32588493,21926071,-10662422,-36533109,37368311,-31123088
0,-32768000,32768000,0,-36142300,36699753,-31859869
0,-32588493,21926071,-10662422,-31788695,13065247,-32247587
0,-32051940,-3425188,-35477128,-27018408,-17874346,-32281995
0,-31164219,-26509868,-57674087,-25427377,-35637987,-31962718
0,-29935057,-32051940,-61986997,-28276982,-28478044,-31293251
0,-28377920,-16383999,-44761919,-33657056,-1154438,-30280928
0,-26509868,10125868,-16384000,-37750183,28215143,-28936840
0,-24351369,29935057,5583688,-37360653,40144671,-27275710
0,-21926071,29935057,8008986,-32034520,26674928,-25315742
0,-19260547,10125868,-9134679,-24367797,-3358826,-23078412
0,-16383999,-16384000,-32767999,-18298746,-30172546,-20588229
0,-13327946,-32051940,-45379886,-16514211,-36124178,-17872481
0,-10125868,-26509868,-36635736,-18686196,-17386847,-14960917
0,-6812850,-3425188,-10238038,-21705444,13520068,-11885439
